open,high,low,last,close,volume,date,symbol,exchange
246.79,247.09,244.4,,245.17,,2020-03-20T20:15:00+0000,AAPL,IEXG
246.18,247.395,245.965,,246.17,,2020-03-20T20:10:00+0000,AAPL,IEXG
248.365,248.37,246.35,,246.44,,2020-03-20T20:05:00+0000,AAPL,IEXG
248.68,249.66,228.0,,229.05,,2020-03-20T20:00:00+0000,AAPL,IEXG
248.645,249.01,248.315,,248.535,,2020-03-20T19:55:00+0000,AAPL,IEXG
249.435,249.735,248.27,,248.535,,2020-03-20T19:50:00+0000,AAPL,IEXG
248.88,249.735,248.27,,248.535,,2020-03-20T19:45:00+0000,AAPL,IEXG
249.225,249.98,248.3,,249.35,,2020-03-20T19:40:00+0000,AAPL,IEXG
248.785,250.0,248.39,,249.29,,2020-03-20T19:35:00+0000,AAPL,IEXG
249.08,250.0,248.27,,248.535,,2020-03-20T19:30:00+0000,AAPL,IEXG
248.435,249.785,248.19,,249.165,,2020-03-20T19:25:00+0000,AAPL,IEXG
249.96,249.98,248.19,,249.165,,2020-03-20T19:20:00+0000,AAPL,IEXG
250.35,250.54,248.19,,249.165,,2020-03-20T19:15:00+0000,AAPL,IEXG
251.415,251.47,249.99,,250.08,,2020-03-20T19:10:00+0000,AAPL,IEXG
250.78,251.28,250.24,,251.07,,2020-03-20T19:05:00+0000,AAPL,IEXG
251.53,251.53,248.19,,248.535,,2020-03-20T19:00:00+0000,AAPL,IEXG
251.51,251.79,250.955,,251.51,,2020-03-20T18:55:00+0000,AAPL,IEXG
250.87,251.79,250.58,,251.51,,2020-03-20T18:50:00+0000,AAPL,IEXG
250.215,251.79,249.355,,251.51,,2020-03-20T18:45:00+0000,AAPL,IEXG
251.395,251.505,249.355,,250.72,,2020-03-20T18:40:00+0000,AAPL,IEXG
251.0,251.39,250.71,,251.29,,2020-03-20T18:35:00+0000,AAPL,IEXG
250.43,251.79,249.355,,251.51,,2020-03-20T18:30:00+0000,AAPL,IEXG
250.99,251.31,250.32,,250.46,,2020-03-20T18:25:00+0000,AAPL,IEXG
250.2,251.31,249.88,,250.46,,2020-03-20T18:20:00+0000,AAPL,IEXG
249.47,251.31,249.47,,250.46,,2020-03-20T18:15:00+0000,AAPL,IEXG
249.73,250.5,248.52,,250.31,,2020-03-20T18:10:00+0000,AAPL,IEXG
250.0,250.04,248.99,,249.645,,2020-03-20T18:05:00+0000,AAPL,IEXG
248.235,251.79,248.165,,251.51,,2020-03-20T18:00:00+0000,AAPL,IEXG
248.75,249.4,247.77,,248.61,,2020-03-20T17:55:00+0000,AAPL,IEXG
247.44,249.6,247.24,,248.61,,2020-03-20T17:50:00+0000,AAPL,IEXG
247.08,249.6,246.66,,248.61,,2020-03-20T17:45:00+0000,AAPL,IEXG
248.8,249.235,246.66,,247.39,,2020-03-20T17:40:00+0000,AAPL,IEXG
248.95,250.42,247.56,,248.285,,2020-03-20T17:35:00+0000,AAPL,IEXG
247.21,250.42,246.66,,248.61,,2020-03-20T17:30:00+0000,AAPL,IEXG
243.89,243.89,243.89,,243.89,,2020-03-20T00:00:00+0000,AAPL,IEXG
246.57,248.465,243.72,,243.89,,2020-03-19T23:55:00+0000,AAPL,IEXG
249.145,249.145,243.72,,243.89,,2020-03-19T23:50:00+0000,AAPL,IEXG
249.71,250.0,243.72,,243.89,,2020-03-19T23:45:00+0000,AAPL,IEXG
248.55,250.015,248.38,,249.125,,2020-03-19T23:40:00+0000,AAPL,IEXG
248.63,249.22,248.035,,248.67,,2020-03-19T23:35:00+0000,AAPL,IEXG
248.81,250.015,243.72,,243.89,,2020-03-19T23:30:00+0000,AAPL,IEXG
249.575,250.04,248.7,,248.71,,2020-03-19T23:25:00+0000,AAPL,IEXG
248.8,250.04,247.89,,248.71,,2020-03-19T23:20:00+0000,AAPL,IEXG
249.11,250.04,247.89,,248.71,,2020-03-19T23:15:00+0000,AAPL,IEXG
247.26,249.825,246.865,,248.8,,2020-03-19T23:10:00+0000,AAPL,IEXG
248.305,249.0,247.67,,247.67,,2020-03-19T23:05:00+0000,AAPL,IEXG
249.12,250.04,243.72,,243.89,,2020-03-19T23:00:00+0000,AAPL,IEXG
249.5,250.06,249.28,,249.585,,2020-03-19T22:55:00+0000,AAPL,IEXG
251.33,251.33,249.28,,249.585,,2020-03-19T22:50:00+0000,AAPL,IEXG
251.185,251.41,249.28,,249.585,,2020-03-19T22:45:00+0000,AAPL,IEXG
250.8,251.77,250.47,,251.41,,2020-03-19T22:40:00+0000,AAPL,IEXG
249.755,250.71,249.755,,250.65,,2020-03-19T22:35:00+0000,AAPL,IEXG
249.7,251.77,249.28,,249.585,,2020-03-19T22:30:00+0000,AAPL,IEXG
250.12,250.15,249.19,,249.63,,2020-03-19T22:25:00+0000,AAPL,IEXG
249.345,250.15,249.1,,249.63,,2020-03-19T22:20:00+0000,AAPL,IEXG
249.5,250.15,249.09,,249.63,,2020-03-19T22:15:00+0000,AAPL,IEXG
248.925,249.78,248.785,,249.78,,2020-03-19T22:10:00+0000,AAPL,IEXG
249.14,249.175,248.21,,248.61,,2020-03-19T22:05:00+0000,AAPL,IEXG
249.73,251.77,248.21,,249.585,,2020-03-19T22:00:00+0000,AAPL,IEXG
250.02,250.575,249.21,,249.21,,2020-03-19T21:55:00+0000,AAPL,IEXG
249.51,250.575,249.21,,249.21,,2020-03-19T21:50:00+0000,AAPL,IEXG
248.775,250.575,248.66,,249.21,,2020-03-19T21:45:00+0000,AAPL,IEXG
247.665,249.225,247.5,,249.085,,2020-03-19T21:40:00+0000,AAPL,IEXG
247.85,248.42,247.58,,248.05,,2020-03-19T21:35:00+0000,AAPL,IEXG
247.935,250.575,247.25,,249.21,,2020-03-19T21:30:00+0000,AAPL,IEXG
248.83,248.865,247.765,,248.02,,2020-03-19T21:25:00+0000,AAPL,IEXG
248.57,248.98,247.765,,248.02,,2020-03-19T21:20:00+0000,AAPL,IEXG
248.75,248.98,247.765,,248.02,,2020-03-19T21:15:00+0000,AAPL,IEXG
248.49,249.58,247.94,,247.965,,2020-03-19T21:10:00+0000,AAPL,IEXG
247.66,248.82,247.29,,248.45,,2020-03-19T21:05:00+0000,AAPL,IEXG
247.71,250.575,247.21,,249.21,,2020-03-19T21:00:00+0000,AAPL,IEXG
248.97,249.16,246.71,,247.225,,2020-03-19T20:55:00+0000,AAPL,IEXG
246.71,249.16,246.71,,247.225,,2020-03-19T20:50:00+0000,AAPL,IEXG
246.87,249.16,246.71,,247.225,,2020-03-19T20:45:00+0000,AAPL,IEXG
245.41,247.85,245.41,,246.99,,2020-03-19T20:40:00+0000,AAPL,IEXG
245.96,246.54,245.28,,246.045,,2020-03-19T20:35:00+0000,AAPL,IEXG
247.12,249.16,245.28,,247.225,,2020-03-19T20:30:00+0000,AAPL,IEXG
246.7,247.35,245.75,,247.35,,2020-03-19T20:25:00+0000,AAPL,IEXG
246.91,247.43,245.75,,247.35,,2020-03-19T20:20:00+0000,AAPL,IEXG
246.31,247.43,245.535,,247.35,,2020-03-19T20:15:00+0000,AAPL,IEXG
247.48,247.55,245.535,,246.66,,2020-03-19T20:10:00+0000,AAPL,IEXG
247.215,248.7,247.215,,247.49,,2020-03-19T20:05:00+0000,AAPL,IEXG
247.125,251.77,243.72,,243.89,,2020-03-19T20:00:00+0000,AAPL,IEXG
249.41,250.01,247.11,,247.295,,2020-03-19T19:55:00+0000,AAPL,IEXG
250.22,250.22,247.11,,247.295,,2020-03-19T19:50:00+0000,AAPL,IEXG
249.98,250.53,247.11,,247.295,,2020-03-19T19:45:00+0000,AAPL,IEXG
249.655,250.79,249.27,,250.515,,2020-03-19T19:40:00+0000,AAPL,IEXG
249.19,251.225,248.87,,249.38,,2020-03-19T19:35:00+0000,AAPL,IEXG
248.875,251.225,247.11,,247.295,,2020-03-19T19:30:00+0000,AAPL,IEXG
249.075,249.84,248.82,,249.29,,2020-03-19T19:25:00+0000,AAPL,IEXG
247.77,249.84,247.57,,249.29,,2020-03-19T19:20:00+0000,AAPL,IEXG
247.09,249.84,246.66,,249.29,,2020-03-19T19:15:00+0000,AAPL,IEXG
245.28,247.835,244.93,,247.61,,2020-03-19T19:10:00+0000,AAPL,IEXG
245.57,245.855,244.76,,245.19,,2020-03-19T19:05:00+0000,AAPL,IEXG
245.215,251.225,244.76,,247.295,,2020-03-19T19:00:00+0000,AAPL,IEXG
