date,open,close,low,high
2019-12-19,59.07,59.225,58.245,59.785
2019-12-20,59.24,59.4,59.165,59.74
2019-12-23,59.4,59.4,59.165,59.475
2019-12-24,59.4,59.805,59.38,59.77
2019-12-26,60.02,59.645,59.405,60.315
2019-12-27,59.605,59.825,59.415,59.905
2019-12-30,59.825,59.825,59.535,59.93
2019-12-31,58.505,58.335,57.75,59.825
2020-01-02,59.81,60.095,59.81,60.835
2020-01-03,59.61,59.995,59.44,60.485
2020-01-06,59.8,58.9,58.9,60.055
2020-01-07,58.86,58.97,58.54,59.315
2020-01-08,59.04,59.39,58.84,59.505
2020-01-09,59.5,58.94,58.865,60.075
2020-01-10,59.215,59.545,58.865,59.775
2020-01-13,59.49,59.405,59.185,59.735
2020-01-14,59.28,58.895,58.755,59.645
2020-01-15,59.24,59.505,58.755,59.83
2020-01-16,59.525,59.525,59.25,60.005
2020-01-17,59.59,59.59,57.65,59.68
2020-01-21,61.04,62.8,60.485,62.835
2020-01-22,62.86,65.45,62.125,65.45
2020-01-23,66.55,68.485,63.17,69.28
2020-01-24,66.715,65.7,65.605,68.96
2020-01-27,66.43,67.285,65.605,67.585
2020-01-28,67.645,66.34,66.175,68.045
2020-01-29,65.71,66.485,64.935,66.68
2020-01-30,65.835,63.91,63.675,66.49
2020-01-31,64.49,64.425,63.675,65.035
2020-02-03,65.89,65.475,64.305,66.0
2020-02-04,66.83,66.785,65.28,67.595
2020-02-05,66.95,66.025,60.23,67.595
2020-02-06,65.565,66.385,65.48,66.89
2020-02-07,66.845,67.415,65.6,67.405
2020-02-10,67.605,67.425,66.91,68.08
2020-02-11,66.935,67.45,66.74,67.735
2020-02-12,67.5,67.26,67.105,67.865
2020-02-13,67.26,67.26,66.83,67.695
2020-02-14,66.68,66.135,65.985,67.26
2020-02-18,67.14,65.435,65.72,67.275
2020-02-19,65.25,64.335,64.29,65.885
2020-02-20,62.34,62.355,61.735,64.98
2020-02-21,59.59,59.59,59.59,62.765
2020-02-24,61.98,59.71,59.465,61.6
2020-02-25,60.2,59.645,59.29,60.81
2020-02-26,57.89,55.81,55.81,59.96
2020-02-27,54.185,55.63,53.61,57.065
2020-02-28,55.805,58.195,53.785,58.2
2020-03-02,58.035,55.95,55.42,58.97
2020-03-03,55.95,58.655,55.725,58.705
2020-03-04,57.06,56.985,56.615,58.705
2020-03-05,55.05,55.76,54.55,57.175
2020-03-06,51.93,50.825,50.0,55.98
2020-03-09,52.735,53.985,50.435,53.985
2020-03-10,51.255,51.49,51.01,53.985
2020-03-11,47.97,45.51,46.81,67.38
2020-03-12,47.83,54.425,45.385,54.425
2020-03-13,47.695,44.545,43.63,54.425
2020-03-16,45.765,50.05,43.63,51.62
2020-03-17,46.685,49.77,45.4,50.965
2020-03-18,47.785,45.855,45.18,49.77
2020-03-19,46.25,45.83,45.47,49.39
2020-03-20,46.18,49.525,45.47,50.455
2020-03-23,53.0,52.41,48.105,54.62
2020-03-24,52.48,51.27,49.925,53.79
2020-03-25,51.77,55.625,50.825,55.8
2020-03-26,53.38,52.35,52.095,55.8
2020-03-27,55.39,55.215,52.095,55.885
2020-03-30,52.46,51.82,52.37,62.275
2020-03-31,51.395,54.33,51.225,54.51
2020-04-01,53.95,54.13,52.815,55.06
2020-04-02,56.7,58.48,52.735,57.39
2020-04-03,59.875,58.31,56.715,60.55
2020-04-06,58.9,59.0,57.91,61.48
2020-04-07,59.445,57.145,56.35,59.66
2020-04-08,57.145,57.145,56.065,58.53
